Vardas              Pavarde             Vid.                Med.                
Abramas             Stankevicius        6.46                5.5                 
Abramas             Vasiliauskas        8.26                5                   
Abramas             Kateiva             8.02                8                   
Abramas             Baranauskas         6.8                 5                   
Abramas             Paulauskas          7.76                7                   
Abraomas            Paulauskas          5.28                6.5                 
Abraomas            Kateiva             7.44                6                   
Abraomas            Baranauskas         6.18                7.5                 
Abraomas            Kateiva             5.82                5.5                 
Abraomas            Stankevicius        5.34                7                   
Abraomas            Sakalauskas         7.14                5.5                 
Achilas             zukauskas           7.08                5.5                 
Achilas             Baranauskas         8.44                6                   
Achilas             Kavaliauskas        5.72                5                   
Achilas             Petrauskas          5.92                6                   
Achilas             Urbonas             6.28                5                   
Achilas             Kavaliauskas        6.62                6.5                 
Achilas             Stankevicius        5.16                5                   
Adalbertas          Vasiliauskas        5.68                5                   
Adalbertas          Baranauskas         5.08                5                   
Adalbertas          Sakalauskas         6.72                6.5                 
Adalbertas          Stankevicius        6.44                7.5                 
Adalbertas          Urbonas             7.32                5                   
Adalbertas          Kavaliauskas        5.24                6                   
Adalbertas          Kateiva             8.26                6                   
Adalbertas          Petrauskas          7.06                6                   
Adalbertas          Jankauskas          5.16                5                   
Adamas              Jankauskas          5.74                5.5                 
Adamas              Urbonas             6.22                5.5                 
Adas                Petrauskas          5.24                5.5                 
Adas                Sakalauskas         6.78                7                   
Adas                Butkus              5.1                 5                   
Adas                Stankevicius        6.02                6.5                 
Adas                Jankauskas          5.36                6                   
Adolfas             Jankauskas          6.3                 5                   
Adolfas             Kavaliauskas        7.78                6                   
Adolfas             Kazlaukas           5.86                6                   
Adolfas             Paulauskas          7.64                6                   
Adolfas             Vasiliauskas        7.44                5                   
Adolis              Kavaliauskas        6.28                5                   
Adolis              Sakalauskas         6.9                 5                   
Adolis              Vasiliauskas        7.2                 5.5                 
Adolis              Jankauskas          7.84                7                   
Adomas              Kateiva             5.42                5.5                 
Adomas              Butkus              5.72                5                   
Adomas              Pocius              5.26                6                   
Adomas              Sakalauskas         5.04                5                   
Adomas              Paulauskas          8                   5.5                 
Adrijus             Kavaliauskas        8.24                6                   
Adrijus             Paulauskas          5.62                5.5                 
Adrijus             zukauskas           6.36                6                   
Adrijus             Sakalauskas         5.1                 5                   
Agatas              Kazlaukas           7.46                5                   
Agatas              Paulauskas          7.62                8                   
Agatas              Jankauskas          7.44                7.5                 
Agatas              Pocius              6.78                5                   
Agatas              Stankevicius        6.48                5.5                 
Agatas              Vasiliauskas        6                   5.5                 
Agatas              Pocius              7.26                6                   
Agnius              Kateiva             8.24                5                   
Agnius              Vasiliauskas        8.56                7                   
Agnius              Paulauskas          5.4                 6.5                 
Agnius              Paulauskas          8.1                 5.5                 
Agnius              Paulauskas          6.18                5                   
Agnius              Petrauskas          8.78                7                   
Agnius              Kazlaukas           8.3                 6.5                 
Agnius              zukauskas           8.06                5                   
Aidas               Baranauskas         5.62                5                   
Aidas               Vasiliauskas        5.1                 8                   
Aidas               Sakalauskas         8.1                 5                   
Aidas               Kazlaukas           7.06                6                   
Aidas               Kavaliauskas        5.22                5                   
Ainius              Baranauskas         7.62                6                   
Ainius              Butkus              7.82                5.5                 
Ainius              Sakalauskas         5.88                5.5                 
Aistis              Baranauskas         5.16                5.5                 
Aistis              Paulauskas          6.84                5                   
Aistis              Butkus              7.7                 6                   
Aistis              Paulauskas          8.34                5                   
Aistis              Pocius              5.34                6                   
Aistis              Paulauskas          7.62                5.5                 
Aistis              Paulauskas          6.68                7                   
Aistis              Vasiliauskas        7.58                6                   
Aistis              Butkus              6.64                6.5                 
Aistis              Baranauskas         6.38                5                   
Aistis              Kazlaukas           6.2                 5                   
Aivaras             Urbonas             5.52                7.5                 
Aivaras             Jankauskas          7.34                5                   
Aivaras             Sakalauskas         6.14                6                   
Aivaras             Kazlaukas           8                   5.5                 
Aivaras             Stankevicius        7.66                5.5                 
Aivaras             Urbonas             7.02                5.5                 
Aivaras             Butkus              7.24                6                   
Aivaras             Urbonas             5.92                5.5                 
Aivaras             Sakalauskas         6.06                5                   
Aivaras             Petrauskas          8.08                7.5                 
Aivaras             Urbonas             7.4                 7.5                 
Aivaras             zukauskas           6.3                 5                   
Akimas              Kateiva             7.4                 7                   
Akimas              Vasiliauskas        8.36                6.5                 
Akimas              Sakalauskas         5.5                 6                   
Akimas              Pocius              8                   5                   
Akimas              Urbonas             7.68                5.5                 
Akvilinas           Kateiva             8.62                7                   
Akvilinas           Urbonas             7.7                 5.5                 
Akvilinas           Kavaliauskas        8.4                 6                   
Akvilinas           zukauskas           7.96                6.5                 
Albertas            Pocius              7.74                6                   
Albertas            Sakalauskas         7.18                6.5                 
Albertas            Butkus              6.18                5                   
Albertas            Sakalauskas         6.18                5                   
Albertas            Sakalauskas         8.28                5                   
Albinas             Pocius              6.58                7                   
Albinas             Kateiva             6.32                7.5                 
Albinas             Baranauskas         7.36                5                   
Albinas             Kazlaukas           6.38                5                   
Albinas             zukauskas           6.16                5                   
Albinas             Jankauskas          8.18                5.5                 
Albinas             Petrauskas          6.76                7                   
Albrechtas          Stankevicius        6.48                6                   
Aldonas             Jankauskas          5.06                5                   
Aldonas             Kazlaukas           8.46                6.5                 
Aldonas             Stankevicius        8.26                6                   
Aldonas             Paulauskas          5.84                6.5                 
Aldonas             zukauskas           7.1                 6.5                 
Aldonas             Baranauskas         8.34                6                   
Aleksandras         Baranauskas         6.28                5                   
Aleksandras         Paulauskas          5.48                7                   
Aleksandras         Paulauskas          6.88                7                   
Aleksas             Pocius              7.7                 5.5                 
Aleksas             Urbonas             6.38                5.5                 
Aleksas             Butkus              6.24                7                   
Aleksas             Kazlaukas           5.94                5.5                 
Aleksas             Baranauskas         5.12                5                   
Aleksas             Urbonas             6.84                5                   
Aleksas             Pocius              7.78                6                   
Aleksas             Paulauskas          7.08                5.5                 
Alenas              Vasiliauskas        6.9                 5.5                 
Alenas              Kavaliauskas        5.22                5                   
Alenas              Petrauskas          6.86                5.5                 
Alenas              Pocius              7.72                6                   
Alenas              Stankevicius        7.06                6                   
Alfas               Kazlaukas           5                   5.5                 
Alfas               Jankauskas          7.14                6.5                 
Alfas               Jankauskas          6.04                6                   
Alfas               Jankauskas          7.56                5.5                 
Alfas               Vasiliauskas        7.6                 6                   
Alfonsas            Butkus              7.5                 5                   
Alfonsas            Butkus              8.82                8                   
Alfonsas            Butkus              6.48                6                   
Alfonsas            Baranauskas         5.98                6.5                 
Alfredas            Kateiva             7.62                6                   
Alfredas            Kazlaukas           8.24                6.5                 
Alfredas            Vasiliauskas        7.96                6                   
Alfredas            Kateiva             7.84                6                   
Alfredas            Urbonas             6.6                 6.5                 
Alfredas            Petrauskas          7.88                6.5                 
Algimantas          Pocius              6.82                6.5                 
Algimantas          Vasiliauskas        6.42                5                   
Algimantas          Butkus              7.4                 8                   
Algimantas          Butkus              5.62                7.5                 
Algimantas          Sakalauskas         6.42                5                   
Algimantas          Stankevicius        6.94                5.5                 
Algimantas          Petrauskas          5.12                7                   
Algimantas          Vasiliauskas        7.9                 6.5                 
Algimantas          Jankauskas          6.9                 5                   
Algirdas            Kavaliauskas        5.46                6.5                 
Algirdas            Baranauskas         5.9                 5.5                 
Algirdas            Kavaliauskas        6.68                5                   
Algirdas            Sakalauskas         7.14                6                   
Algirdas            Kavaliauskas        8.48                6                   
Algirdas            Vasiliauskas        7.68                7                   
Algirdas            Vasiliauskas        5.38                6.5                 
Algis               Kateiva             5.66                5                   
Algis               Stankevicius        6.54                6.5                 
Algis               Butkus              7.7                 5                   
Algis               zukauskas           5.16                5                   
Algis               Butkus              8.16                5.5                 
Algis               Petrauskas          8.32                5.5                 
Algis               Paulauskas          6.3                 5                   
Alius               zukauskas           7.7                 5                   
Alius               Kazlaukas           7.34                7                   
Alius               Kateiva             6.26                7.5                 
Alius               zukauskas           5.36                6.5                 
Alius               Petrauskas          8.14                5.5                 
Alius               Baranauskas         5.18                5.5                 
Alius               Butkus              8.2                 5                   
Alius               Kazlaukas           8.18                5                   
Alius               Petrauskas          6.12                7.5                 
Alius               Petrauskas          7.06                6.5                 
Alius               Baranauskas         5.92                6.5                 
Almantas            Kateiva             8.1                 5                   
Almantas            Urbonas             6.82                6.5                 
Almantas            Urbonas             8.78                7.5                 
Almantas            zukauskas           8.06                6                   
Almis               Petrauskas          7.64                6.5                 
Almis               zukauskas           6.7                 6.5                 
Almis               Baranauskas         7.12                6                   
Almis               Baranauskas         7.4                 5.5                 
Almis               Butkus              7.54                5                   
Almis               Pocius              8.08                5.5                 
Almonas             Kazlaukas           6.36                5                   
Almonas             Jankauskas          7.52                8                   
Almonas             Pocius              6.76                5                   
Almonas             zukauskas           5.26                5                   
Aloyzas             Kateiva             6.56                7                   
Aloyzas             zukauskas           5.44                6                   
Aloyzas             Sakalauskas         8.86                8                   
Aloyzas             Kavaliauskas        5.48                6.5                 
Aloyzas             Baranauskas         6.28                5.5                 
Alpas               Butkus              7.4                 5                   
Alpas               Butkus              5.76                5.5                 
Alpas               Kavaliauskas        6.94                5                   
Alpas               Baranauskas         8.34                7                   
Alpas               Urbonas             6.8                 5                   
Alpas               Kazlaukas           8.26                5.5                 
Alpis               Jankauskas          7.62                8                   
