Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   ND17   ND18   ND19   ND20   Egz    
Aistis              Baranauskas         7      6      10     5      8      1      2      1      6      3      7      10     9      3      10     5      4      6      2      3      5      
Laurentijus         Stankevicius        2      3      7      1      6      10     9      5      10     7      10     6      2      8      7      7      2      3      9      3      4      
Aleksandras         Baranauskas         5      1      9      4      5      10     8      2      2      8      9      6      3      7      8      6      5      3      2      1      7      
Vsevolodas          Kateiva             5      6      6      4      9      3      10     6      3      5      4      10     6      9      7      5      6      7      1      4      1      
Danila              zukauskas           4      6      10     4      4      6      5      7      1      5      6      4      8      6      10     2      4      7      2      9      2      
Jacekas             Butkus              1      5      1      5      10     8      7      7      9      7      7      1      1      1      1      4      2      5      7      5      7      
Vydas               Pocius              9      9      10     7      6      1      9      1      3      4      2      10     7      10     7      1      7      2      3      1      7      
Skirmantas          Kavaliauskas        2      1      1      7      1      7      6      7      1      1      2      7      1      4      1      6      2      10     7      8      6      
Valerijus           Butkus              5      8      4      10     3      3      4      5      9      9      8      2      8      3      6      6      9      8      10     6      6      
Kalikstas           Urbonas             8      10     9      4      8      7      10     4      5      8      1      9      10     5      9      10     4      2      8      10     8      
Eidimantas          Paulauskas          7      6      9      10     8      5      1      1      3      5      6      6      9      10     2      8      6      6      2      4      1      
Borisas             Vasiliauskas        10     7      10     4      1      7      10     6      2      1      8      6      9      6      1      4      1      6      6      10     6      
Vainius             zukauskas           5      5      4      2      1      9      8      7      1      4      3      7      6      10     9      5      10     5      10     7      5      
Augustinas          Butkus              5      1      9      5      4      10     2      7      9      4      4      9      6      9      6      8      2      8      3      10     9      
Ulrikas             Kavaliauskas        9      2      9      6      3      4      6      2      4      6      5      2      5      1      1      6      3      6      6      10     2      
Irenijus            Kateiva             10     6      4      1      5      7      2      5      2      5      1      5      3      4      7      6      7      6      1      10     2      
Irenijus            Stankevicius        7      10     1      3      6      9      3      7      7      9      5      5      6      10     3      7      7      10     10     1      5      
Akimas              Kateiva             4      2      7      10     9      9      2      8      4      8      8      7      6      10     6      7      3      3      9      8      8      
Sergijus            Petrauskas          9      3      6      6      5      5      5      2      8      7      9      3      8      5      1      5      1      4      4      10     7      
Pilenas             Urbonas             3      8      6      2      7      7      5      7      2      4      3      8      10     6      4      1      9      5      9      7      5      
