Vardas              Pavarde             Vid.                Med.                
Abramas             Paulauskas          7.78                3                   
Abramas             Baranauskas         7.84                4                   
Abramas             Pocius              8.08                4.5                 
Abramas             Kateiva             5.72                4.5                 
Abraomas            Pocius              5.38                4                   
Abraomas            Urbonas             3.12                7                   
Abraomas            Paulauskas          3.14                4                   
Abraomas            Pocius              6.96                4.5                 
Abraomas            Jankauskas          3.3                 5.5                 
Abraomas            Butkus              4.02                5                   
Achilas             Sakalauskas         4                   6                   
Achilas             Sakalauskas         4.82                6                   
Achilas             zukauskas           5.48                4.5                 
Achilas             Jankauskas          3.8                 4                   
Achilas             Paulauskas          3.88                4.5                 
Achilas             Jankauskas          3.92                4.5                 
Achilas             zukauskas           3.56                6.5                 
Adalbertas          Kavaliauskas        2.54                5                   
Adalbertas          Kazlaukas           4.92                7                   
Adalbertas          Petrauskas          4.76                6.5                 
Adalbertas          Jankauskas          3.46                6                   
Adamas              Sakalauskas         2.56                5                   
Adamas              Kazlaukas           4.92                4.5                 
Adamas              Pocius              4.94                6.5                 
Adamas              Kavaliauskas        3.62                6                   
Adamas              Vasiliauskas        7.02                2.5                 
Adamas              Vasiliauskas        2.66                5.5                 
Adas                zukauskas           3.36                7                   
Adas                Sakalauskas         4.92                4.5                 
Adas                Urbonas             7.4                 4                   
Adas                Baranauskas         4.42                5                   
Adas                Kateiva             3.32                5.5                 
Adas                Pocius              3.02                4.5                 
Adas                Butkus              7.28                4.5                 
Adas                Petrauskas          3.78                4.5                 
Adas                Sakalauskas         8                   4.5                 
Adolfas             Butkus              4.34                7.5                 
Adolfas             Petrauskas          4.2                 5                   
Adolfas             Vasiliauskas        3.3                 7.5                 
Adolfas             zukauskas           4.92                5                   
Adolfas             Urbonas             4.98                5                   
Adolis              Sakalauskas         6.66                4.5                 
Adolis              Pocius              4.88                5                   
Adolis              Baranauskas         6.98                4                   
Adolis              Butkus              4.74                4                   
Adolis              Sakalauskas         3.78                5                   
Adolis              Petrauskas          4.48                5                   
Adolis              Jankauskas          4.44                5                   
Adolis              Kateiva             3                   6                   
Adomas              Kazlaukas           2.54                6                   
Adomas              Paulauskas          6.08                4.5                 
Adomas              Petrauskas          4.82                5.5                 
Adomas              Kazlaukas           4.28                7                   
Adomas              Kavaliauskas        4.12                6.5                 
Adrijus             Kavaliauskas        3.68                4                   
Adrijus             Petrauskas          4.36                5                   
Adrijus             Baranauskas         4.52                5                   
Adrijus             Kavaliauskas        2.96                6                   
Adrijus             Stankevicius        4                   5.5                 
Adrijus             Butkus              2.7                 5                   
Agatas              Kateiva             4.16                5.5                 
Agatas              Kazlaukas           6.86                4.5                 
Agatas              Jankauskas          6.1                 4.5                 
Agatas              Kazlaukas           3.12                4.5                 
Agnius              Vasiliauskas        6.1                 4                   
Agnius              zukauskas           4.18                6.5                 
Agnius              Vasiliauskas        6.12                4                   
Agnius              Urbonas             4                   6                   
